userId,regTime,testVariant,primaryAccount,regPage,device,app,browser,browserVersion,screenHeight,screenWidth,authMethod,locationStep,addedCity,locationCountry,addedGuestCount,addedBudget,invitedCollaborator,addedNames,finOnb,searchCTA,venEnq,venSearch,venViews,sessions
70,1.56893E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,2,1,3
71,1.5692E+12,2,TRUE,/,Android,TRUE,Chrome,76,747,360,facebook.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,2
72,1.56977E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,18,22,23,10
73,1.56979E+12,1,TRUE,/,Android,TRUE,Chrome,77,786,393,password,completed,0,,TRUE,FALSE,TRUE,TRUE,1,0,0,1,0,6
74,1.56876E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,skipped,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,3
222,1.56882E+12,0,TRUE,/,Android,TRUE,Chrome,77,918,424,google.com,completed,0,,FALSE,FALSE,TRUE,TRUE,1,1,0,3,2,3
223,1.56925E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,1,1,4,14,5
224,1.56933E+12,1,TRUE,/,Android,TRUE,Chrome,74,760,360,google.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,2
225,1.56936E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,1,0,4,5,1
226,1.56942E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,TRUE,FALSE,FALSE,TRUE,1,1,4,4,3,7
227,1.56963E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,,FALSE,FALSE,TRUE,TRUE,1,1,0,3,5,1
228,1.56967E+12,2,FALSE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,notSeen,0,,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0,6
229,1.5698E+12,0,TRUE,/,Android,TRUE,Chrome,77,786,393,google.com,completed,0,,FALSE,FALSE,FALSE,TRUE,1,0,2,7,3,3
230,1.5691E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,skipped,0,,FALSE,FALSE,FALSE,TRUE,1,1,0,3,1,3
231,1.56925E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,England,TRUE,TRUE,TRUE,TRUE,1,0,0,1,0,1
232,1.56933E+12,1,FALSE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,4
233,1.56978E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,2,2,1
234,1.56979E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,google.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,2,1,2,3
235,1.56892E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,4
236,1.56918E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,3
237,1.56934E+12,2,TRUE,/,Android,TRUE,Chrome,77,760,360,facebook.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,1,17,13,11,1
238,1.56942E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,4
239,1.56958E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,8,2,5,5
240,1.56978E+12,0,TRUE,/,Android,TRUE,Chrome,77,760,360,facebook.com,completed,1,England,FALSE,FALSE,TRUE,TRUE,1,1,5,2,0,1
241,1.56906E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,1
242,1.56909E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,568,320,facebook.com,completed,1,Wales,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
243,1.56915E+12,0,FALSE,/,Android,TRUE,Chrome,77,640,360,google.com,seen,0,,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,1
244,1.56916E+12,2,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,2
245,1.56945E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,1,0,1,0,1
246,1.5695E+12,2,TRUE,/,Android,TRUE,Chrome,77,869,412,google.com,completed,0,,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,2
247,1.56919E+12,0,TRUE,/,Android,TRUE,Chrome,77,760,360,facebook.com,seen,0,,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1
248,1.56927E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,google.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
249,1.56936E+12,2,TRUE,/,Android,TRUE,Chrome,77,780,360,facebook.com,completed,0,,FALSE,TRUE,TRUE,TRUE,1,0,0,0,0,1
250,1.5697E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,1
251,1.56889E+12,0,TRUE,/,Android,TRUE,Chrome,77,780,360,password,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,1
252,1.56909E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,11
253,1.56935E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,completed,0,,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,6
254,1.56933E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,568,320,facebook.com,completed,0,,TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,5
255,1.5696E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,5,1,1
256,1.56988E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,1
257,1.56892E+12,1,TRUE,/,Android,TRUE,Chrome,77,740,360,password,skipped,0,,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,1
258,1.56893E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,0,,FALSE,FALSE,TRUE,TRUE,1,0,1,7,7,10
259,1.56917E+12,0,TRUE,/,Android,TRUE,Chrome,76,640,360,google.com,completed,1,England,FALSE,FALSE,TRUE,TRUE,1,1,7,30,37,16
260,1.56932E+12,1,TRUE,/,Android,TRUE,Chrome,77,869,412,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,1,3,3,4
261,1.56875E+12,0,TRUE,/,Android,TRUE,Chrome,77,892,412,facebook.com,completed,1,England,TRUE,FALSE,FALSE,TRUE,1,1,5,10,9,1
262,1.56945E+12,1,TRUE,/,Android,TRUE,Chrome,77,840,360,google.com,completed,0,Scotland,FALSE,FALSE,FALSE,TRUE,1,1,0,2,1,1
263,1.56979E+12,1,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,1,England,TRUE,FALSE,FALSE,TRUE,1,1,0,47,46,1
264,1.56917E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,google.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,3
265,1.56954E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,password,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,4,5,1
266,1.56882E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,0,,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,3
267,1.56884E+12,0,TRUE,/,Android,TRUE,Chrome,77,740,360,password,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,3,5,3
268,1.56908E+12,0,TRUE,/,Android,TRUE,Chrome,77,823,412,password,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,1
269,1.56957E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,0,0,8,9,10
270,1.56968E+12,1,TRUE,/,Android,TRUE,Chrome,77,760,360,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,1
271,1.5688E+12,0,TRUE,/,Android,TRUE,Chrome,77,780,360,google.com,completed,1,England,TRUE,FALSE,TRUE,TRUE,1,0,0,2,1,16
272,1.56906E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,google.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,2
273,1.56908E+12,1,TRUE,/,Android,TRUE,Chrome,77,748,360,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,0,2,1,1
274,1.56919E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,0,,TRUE,FALSE,FALSE,TRUE,1,1,2,4,2,9
275,1.56945E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,facebook.com,completed,1,Scotland,TRUE,TRUE,TRUE,TRUE,1,1,0,2,1,1
276,1.56953E+12,2,TRUE,/,iPad,TRUE,Mobile Safari,,1366,1024,password,completed,1,England,FALSE,TRUE,TRUE,TRUE,1,1,0,5,4,1
277,1.5698E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,FALSE,FALSE,FALSE,TRUE,1,1,0,1,0,2
278,1.56986E+12,1,FALSE,/,Android,TRUE,Chrome,74,740,360,password,completed,0,Lisbon,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,2
279,1.5689E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,password,skipped,0,,FALSE,FALSE,FALSE,TRUE,1,1,0,8,6,4
280,1.56892E+12,0,TRUE,/,Android,TRUE,Chrome,77,747,360,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,1,1,11,8,2
281,1.56955E+12,0,TRUE,/,Android,TRUE,Chrome,77,808,393,google.com,completed,1,Scotland,FALSE,FALSE,FALSE,TRUE,1,1,0,1,0,2
282,1.5698E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,896,414,google.com,completed,0,England,TRUE,TRUE,FALSE,TRUE,1,1,0,6,6,1
283,1.569E+12,2,TRUE,/,Android,TRUE,Chrome,76,640,360,facebook.com,completed,0,,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,1
284,1.56936E+12,2,TRUE,/,Android,TRUE,Chrome,77,869,412,password,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,1,2
